state#=1800      
E=9.598173400090213e-10
3.864034e-08-1.220024e-03j       3.863120e-08+1.220024e-03j       
-1.770786e-08+3.394191e-04j      -1.770532e-08-3.394191e-04j      
-4.582752e-08+1.841063e-04j      -4.582614e-08-1.841063e-04j      
5.751146e-08-2.215716e-04j       5.750980e-08+2.215716e-04j       
2.734735e-08+1.066241e-04j       2.734815e-08-1.066241e-04j       
-8.621500e-08-3.446591e-05j      -8.621526e-08+3.446591e-05j      
5.020298e-09+1.745325e-05j       5.020429e-09-1.745325e-05j       
8.516004e-08-1.762506e-05j       8.515991e-08+1.762506e-05j       
-2.341139e-08+1.581352e-05j      -2.341127e-08-1.581352e-05j      
-5.316792e-08-1.146045e-05j      -5.316801e-08+1.146045e-05j      
1.924696e-08+7.667519e-06j       1.924702e-08-7.667519e-06j       
5.950212e-10-5.320831e-06j       5.949812e-10+5.320831e-06j       
-4.284519e-08+3.888887e-06j      -4.284516e-08-3.888887e-06j      
-4.842961e-08-2.862417e-06j      -4.842963e-08+2.862417e-06j      
-9.321859e-08+2.070971e-06j      -9.321857e-08-2.070971e-06j      
-2.020629e-07-1.482871e-06j      -2.020629e-07+1.482871e-06j      
-3.879266e-07+1.064401e-06j      -3.879266e-07-1.064401e-06j      
-7.688056e-07-7.688052e-07j      -7.688056e-07+7.688052e-07j      
-1.517016e-06+5.579791e-07j      -1.517016e-06-5.579791e-07j      
-2.995497e-06-4.093974e-07j      -2.995497e-06+4.093974e-07j      
-5.969611e-06+3.142635e-07j      -5.969611e-06-3.142635e-07j      
-1.120233e-05-2.749702e-07j      -1.120233e-05+2.749701e-07j      
-2.784481e-05+3.953058e-07j      -2.784481e-05-3.953060e-07j      
1.010821e-02-2.970312e-09j       1.010821e-02+3.046027e-09j       
3.801945e-03+5.310687e-09j       3.801945e-03-5.282209e-09j       
2.966674e-03+3.482595e-11j       2.966674e-03-1.260424e-11j       
2.085333e-03-1.325313e-08j       2.085333e-03+1.326875e-08j       
-1.554706e-03+1.618620e-08j      -1.554706e-03-1.619785e-08j      
-1.069837e-03+9.420348e-09j      -1.069837e-03-9.428362e-09j      
1.493707e-03-4.140870e-08j       1.493707e-03+4.141989e-08j       
-3.239376e-04+2.082967e-08j      -3.239376e-04-2.083209e-08j      
