state#=1799      
E=-9.598171097981516e-10
-1.487024e-08+7.867058e-05j      -1.487083e-08-7.867058e-05j      
-1.192543e-08-5.639308e-05j      -1.192501e-08+5.639308e-05j      
8.465146e-09+4.100309e-05j       8.464839e-09-4.100309e-05j       
-8.651477e-10-2.972430e-05j      -8.649249e-10+2.972430e-05j      
-1.405095e-08+2.140466e-05j      -1.405111e-08-2.140466e-05j      
-8.755104e-09-1.538684e-05j      -8.754989e-09+1.538684e-05j      
-2.796809e-08+1.108167e-05j      -2.796817e-08-1.108167e-05j      
-4.875353e-08-7.993050e-06j      -4.875347e-08+7.993050e-06j      
-1.075290e-07+5.764682e-06j      -1.075291e-07-5.764682e-06j      
-1.922913e-07-4.155171e-06j      -1.922912e-07+4.155171e-06j      
-4.093974e-07+2.995497e-06j      -4.093974e-07-2.995497e-06j      
-7.674880e-07-2.163123e-06j      -7.674879e-07+2.163123e-06j      
-1.570706e-06+1.570707e-06j      -1.570706e-06-1.570707e-06j      
-3.054758e-06-1.162579e-06j      -3.054758e-06+1.162579e-06j      
-5.822812e-06+9.081872e-07j      -5.822812e-06-9.081872e-07j      
-1.436425e-05-9.650631e-07j      -1.436425e-05+9.650632e-07j      
-1.912800e-02+1.412090e-09j      -1.912800e-02-1.268813e-09j      
-1.092600e-02-1.453903e-09j      -1.092600e-02+1.535744e-09j      
-6.149455e-03-3.924223e-09j      -6.149455e-03+3.970285e-09j      
6.189781e-03+8.849390e-09j       6.189781e-03-8.895754e-09j       
1.112075e-03-1.647125e-09j       1.112075e-03+1.638795e-09j       
-4.233699e-03-1.515179e-08j      -4.233699e-03+1.518351e-08j      
2.689098e-03+1.611428e-08j       2.689098e-03-1.613442e-08j       
-2.816903e-04+1.325244e-08j      -2.816903e-04-1.325033e-08j      
-9.145161e-04-3.528234e-08j      -9.145161e-04+3.528919e-08j      
1.010390e-03+6.766603e-10j       1.010390e-03-6.842283e-10j       
-7.253337e-04+5.138196e-08j      -7.253337e-04-5.137652e-08j      
4.725984e-04-2.284046e-08j       4.725984e-04+2.283692e-08j       
-3.250317e-04-5.626321e-08j      -3.250317e-04+5.626564e-08j      
2.379296e-04+3.543414e-08j       2.379296e-04-3.543593e-08j       
-1.754877e-04+5.355452e-08j      -1.754877e-04-5.355321e-08j      
1.270850e-04-2.591470e-08j       1.270850e-04+2.591375e-08j       
-9.102773e-05-2.946917e-08j      -9.102773e-05+2.946985e-08j      
6.531210e-05-8.239203e-09j       6.531210e-05+8.238714e-09j       
-4.709341e-05-3.354117e-08j      -4.709341e-05+3.354153e-08j      
3.400864e-05-9.303018e-08j       3.400864e-05+9.302992e-08j       
-2.452881e-05-1.494646e-07j      -2.452881e-05+1.494648e-07j      
1.767133e-05-3.209145e-07j       1.767133e-05+3.209144e-07j       
-1.273153e-05-6.067761e-07j      -1.273153e-05+6.067762e-07j      
9.178937e-06-1.240314e-06j       9.178937e-06+1.240313e-06j       
-6.625576e-06-2.386175e-06j      -6.625576e-06+2.386175e-06j      
4.800997e-06-4.800995e-06j       4.800997e-06+4.800995e-06j       
-3.530979e-06-9.351475e-06j      -3.530979e-06+9.351475e-06j      
2.743396e-06-1.880148e-05j       2.743396e-06+1.880148e-05j       
-2.481437e-06-3.508559e-05j      -2.481437e-06+3.508559e-05j      
3.700890e-06-8.751888e-05j       3.700891e-06+8.751888e-05j       
-6.829139e-09+8.559405e-02j      -7.470275e-09-8.559405e-02j      
3.301049e-09+3.434711e-02j       3.043775e-09-3.434711e-02j       
4.380148e-09+7.981754e-03j       4.320362e-09-7.981754e-03j       
-9.211772e-09-8.342024e-03j      -9.149287e-09+8.342024e-03j      
1.638795e-09-1.112075e-03j       1.647125e-09+1.112075e-03j       
1.450410e-08+3.664986e-03j       1.447665e-08-3.664986e-03j       
-1.619784e-08-1.554706e-03j      -1.618619e-08+1.554706e-03j      
-9.717547e-09-3.058079e-04j      -9.715256e-09+3.058079e-04j      
3.274346e-08+6.964631e-04j       3.273824e-08-6.964631e-04j       
-8.970215e-09-4.196426e-04j      -8.967072e-09+4.196426e-04j      
-3.931474e-08+1.680650e-04j      -3.931600e-08-1.680650e-04j      
3.254929e-08-7.959180e-05j       3.254989e-08+7.959180e-05j       
3.140803e-08+6.521426e-05j       3.140755e-08-6.521426e-05j       
-4.540618e-08-5.694068e-05j      -4.540575e-08+5.694068e-05j      
-1.616191e-08+4.280901e-05j      -1.616224e-08-4.280901e-05j      
3.637258e-08-2.953270e-05j       3.637280e-08+2.953270e-05j       
3.021485e-09+2.052208e-05j       3.021331e-09-2.052208e-05j       
-1.334240e-08-1.481136e-05j      -1.334229e-08+1.481136e-05j      
1.713041e-08+1.083481e-05j       1.713032e-08-1.083481e-05j       
2.211831e-08-7.855177e-06j       2.211837e-08+7.855177e-06j       
3.217790e-08+5.643282e-06j       3.217786e-08-5.643282e-06j       
7.118175e-08-4.052121e-06j       7.118178e-08+4.052121e-06j       
1.456743e-07+2.919441e-06j       1.456743e-07-2.919441e-06j       
2.758222e-07-2.106343e-06j       2.758222e-07+2.106343e-06j       
5.579791e-07+1.517016e-06j       5.579791e-07-1.517016e-06j       
1.087132e-06-1.087132e-06j       1.087132e-06+1.087132e-06j       
2.163122e-06+7.674883e-07j       2.163122e-06-7.674884e-07j       
4.289997e-06-5.104914e-07j       4.289997e-06+5.104914e-07j       
8.073558e-06+2.585355e-07j       8.073558e-06-2.585356e-07j       
2.004123e-05+2.022577e-07j       2.004123e-05-2.022579e-07j       
1.381306e-02+1.798845e-10j       1.381306e-02-2.833501e-10j       
5.912983e-03-3.760042e-09j       5.912983e-03+3.715751e-09j       
5.491100e-03+7.535738e-09j       5.491100e-03-7.576868e-09j       
4.771540e-05-1.284258e-09j       4.771540e-05+1.283901e-09j       
-3.664986e-03-1.447665e-08j      -3.664986e-03+1.450410e-08j      
1.670127e-03+1.751906e-08j       1.670127e-03-1.753157e-08j       
1.016171e-03+1.070078e-08j       1.016171e-03-1.070839e-08j       
-1.602274e-03-4.052482e-08j      -1.602274e-03+4.053682e-08j      
8.026595e-04+1.277408e-08j       8.026595e-04-1.278010e-08j       
2.917361e-06+5.743200e-08j       2.917361e-06-5.743202e-08j       
-3.122802e-04-5.378568e-08j      -3.122802e-04+5.378802e-08j      
2.901880e-04-5.636372e-08j       2.901880e-04+5.636155e-08j       
-1.898382e-04+9.370916e-08j      -1.898382e-04-9.370774e-08j      
